ID,STRATACD,ECOSECTION,PHOTOYEAR,NUMCOND,PNTCNT,TREE,SHRUB,OTHERVEG,NONVEG,VEGCAT,TREESHRUB,FOREST,NONFOREST,VEGETATED,NONVEGETATED,DEAD,ASPEN,PINYON,PJSPP,SAGE,SPRUCEFIR,INSDIS_DROUGHT,FIRE,EVI2005097,EVI2005177,EVI2005273,NDV2005097,NDV2005177,NDV2005273,NIR2005097,NIR2005177,NIR2005273,RED2005097,RED2005177,RED2005273,NLCD01_250,ELEV250
24,2,322A,2005,1,49,33,8,0,59,NONVEG,41,33,67,41,59,2,0,16,31,2,0,0,0,1882,1970,1804,3777,3810,4306,1843,1899,1520,836,827,614,42,1976
25,2,322A,2005,1,49,33,12,12,43,NONVEG,45,33,67,57,43,0,0,0,33,0,0,0,0,2212,1697,1905,3631,2839,3115,2533,2027,2448,1184,1238,1286,42,1544
26,2,322A,2005,1,49,35,4,6,55,NONVEG,39,35,65,45,55,6,0,20,27,0,0,0,0,2329,2147,2190,3838,4367,5062,2368,1800,1599,1055,706,525,42,1938
27,2,322A,2005,1,49,37,8,0,55,NONVEG,45,37,63,45,55,0,0,16,37,2,0,0,0,1376,1574,1680,2899,3092,3551,1713,1984,1745,944,1073,831,42,2120
28,2,322A,2005,1,49,37,8,2,53,NONVEG,45,37,63,47,53,0,0,10,37,0,0,0,0,1700,1902,1767,3355,3338,3800,1910,1841,1762,949,830,798,42,1917
29,2,322A,2005,1,49,39,6,0,55,NONVEG,45,39,61,45,55,0,0,14,35,2,0,0,0,1844,1637,1587,3347,3445,3924,2055,1782,1390,1026,870,606,42,1784
30,2,322A,2005,1,49,39,16,16,29,TREE,55,39,61,71,29,0,0,2,37,0,0,0,0,2252,1620,1736,3912,3617,4239,2207,1842,1540,966,883,635,42,2018
31,2,322A,2005,1,49,41,8,2,49,NONVEG,49,41,59,51,49,2,0,0,39,0,0,0,0,1014,1174,1839,2329,2671,3487,1394,1239,1947,871,708,924,42,2450
32,2,322A,2005,1,49,41,8,8,43,NONVEG,49,41,59,57,43,0,0,0,35,0,0,0,0,1619,1691,1298,4015,3405,3834,1475,1946,1168,631,989,523,42,1825
33,2,322A,2005,1,49,47,14,17,22,TREE,61,47,53,78,22,0,0,29,47,4,0,0,0,2062,1685,1767,3548,3675,3929,2257,1645,1655,1075,768,722,42,2260
34,2,322A,2005,1,49,49,8,0,43,TREE,57,49,51,57,43,0,0,22,45,6,0,0,0,1523,1475,1446,2509,3137,4203,2255,1821,1146,1350,941,470,42,2211
35,2,322A,2005,1,49,49,12,2,37,TREE,61,49,51,63,37,2,0,22,43,0,0,0,0,989,2013,1291,2268,3411,3623,1420,1822,1200,892,895,558,42,2557
36,2,322A,2005,1,49,57,0,2,41,TREE,57,57,43,59,41,0,0,4,55,0,0,0,0,1394,1585,1425,3107,3114,3622,1590,2147,1466,841,1095,712,42,2010
37,2,322A,2005,1,49,61,6,2,31,TREE,67,61,39,69,31,0,0,55,59,0,0,0,0,1881,2231,1929,3910,3792,4306,1831,2130,1660,812,952,658,42,1979
38,2,322A,2005,1,49,63,0,0,37,TREE,63,63,37,63,37,4,0,18,59,0,0,0,0,2084,2385,2326,3108,4240,4654,2653,1987,2107,1401,834,774,42,2308
39,2,341A,2004,1,46,22,24,8,46,NONVEG,46,22,78,54,46,0,0,13,20,11,0,0,0,1607,1865,1532,3247,3339,2983,1862,2571,1923,951,1342,1049,42,1935
40,2,341A,2005,1,49,43,4,10,43,TREE,47,43,57,57,43,4,0,6,39,0,0,0,0,1358,1954,1601,2612,3188,3724,1874,2247,1571,1098,1131,718,42,1852
41,2,341D,2005,1,49,2,41,4,53,NONVEG,43,2,98,47,53,0,0,2,2,22,0,0,0,510,2201,1618,662,3531,3478,2713,2433,1568,2412,1140,763,42,2918
42,2,341D,2005,1,49,4,8,2,86,NONVEG,12,4,96,14,86,0,0,4,4,4,0,0,0,1674,1567,1517,2757,3776,4213,2135,1558,1260,1213,716,517,42,2256
43,2,341D,2005,1,49,4,12,13,71,NONVEG,16,4,96,29,71,0,0,4,4,10,0,0,0,1230,1385,1570,2294,2776,2898,1937,1644,1785,1222,938,1017,42,1910
44,2,341D,2005,1,49,16,2,0,82,NONVEG,18,16,84,18,82,0,0,14,14,2,0,0,0,1107,1393,1223,2344,2559,2399,1589,2032,1773,993,1257,1092,42,2019
45,2,341D,2005,1,49,16,4,0,80,NONVEG,20,16,84,20,80,0,0,14,16,4,0,0,0,1357,1489,1466,2955,3416,3393,1585,1628,1584,862,810,794,42,2119
46,2,341D,2005,1,49,18,14,21,47,NONVEG,33,18,82,53,47,0,0,18,18,8,0,0,0,1039,1688,1427,2048,3045,3257,1759,2229,1547,1163,1190,787,42,2136
47,2,341D,2005,1,49,20,12,13,55,NONVEG,33,20,80,45,55,2,0,6,18,4,0,0,0,1026,1171,1192,1967,2338,2533,1923,1751,1615,1291,1092,964,42,1940
48,2,341D,2005,1,49,20,14,9,57,NONVEG,35,20,80,43,57,0,0,18,20,10,0,0,0,1568,1944,1708,2162,3779,3517,2023,1841,1781,1324,832,856,42,2353
49,2,341D,2005,1,49,20,16,9,55,NONVEG,37,20,80,45,55,0,0,16,20,6,0,0,0,1929,1599,1532,3145,3103,3122,2421,1945,1825,1261,977,957,50,1750
50,2,341D,2005,1,49,22,10,3,65,NONVEG,33,22,78,35,65,6,0,8,16,2,0,0,0,1534,1415,1423,3405,3271,3745,1613,1470,1339,797,730,611,50,1792
51,2,341D,2005,1,49,24,2,15,59,NONVEG,27,24,76,41,59,0,0,18,24,0,0,0,0,1531,1828,1708,2907,3331,3451,1818,2349,1726,999,1171,840,42,2221
52,2,341D,2005,1,49,24,8,5,63,NONVEG,33,24,76,37,63,0,0,16,24,6,0,0,0,1690,1465,1509,3067,3268,3513,2048,1429,1481,1084,726,712,42,2094
53,2,341D,2005,1,49,24,14,11,51,NONVEG,39,24,76,49,51,2,0,12,22,2,0,0,0,1168,1500,1325,2512,3027,3237,1539,1882,1390,921,1000,715,42,2292
54,2,341D,2005,1,49,27,4,0,69,NONVEG,31,27,73,31,69,2,0,24,24,0,0,0,0,1119,1140,830,1671,1958,2225,2551,1964,1254,1824,1285,810,42,1736
55,2,341D,2005,1,49,27,6,6,61,NONVEG,33,27,73,39,61,2,0,18,24,2,0,0,0,1640,1530,1409,2852,2841,3114,2136,2112,1561,1190,1195,827,42,2129
56,2,341D,2005,1,49,29,2,6,63,NONVEG,31,29,71,37,63,2,0,16,27,0,0,0,0,1513,1546,1475,2682,2982,3141,2166,2342,1767,1254,1264,929,42,2175
57,2,341D,2005,1,49,29,6,6,59,NONVEG,35,29,71,41,59,0,0,2,29,2,0,0,0,1401,1553,1604,2557,2926,3268,1962,2158,1742,1164,1227,889,42,2211
58,2,341D,2005,1,49,29,6,10,55,NONVEG,35,29,71,45,55,0,0,2,29,4,0,0,0,1002,1623,1268,2249,2799,2934,1483,1964,1495,938,1118,817,42,2023
59,2,341D,2005,1,49,29,16,6,49,NONVEG,45,29,71,51,49,6,0,22,22,12,0,0,0,1246,1695,1372,2477,3300,2961,1732,1700,1673,1046,835,911,42,2056
60,2,341D,2005,1,49,29,20,0,51,NONVEG,49,29,71,49,51,2,0,20,27,10,0,0,0,1137,1624,1461,2644,3139,3211,1479,2029,1629,861,1085,845,42,2169
61,2,341D,2005,1,49,31,2,0,67,NONVEG,33,31,69,33,67,0,0,29,31,2,0,0,0,1696,1457,1272,2297,3128,3570,2842,1680,1185,1784,904,567,42,2448
62,2,341D,2005,1,49,31,14,2,53,NONVEG,45,31,69,47,53,0,0,18,29,6,0,0,0,1357,2333,1945,2063,3852,3948,2058,2707,1902,1387,1168,830,42,2523
63,2,341D,2005,1,49,31,14,8,47,NONVEG,45,31,69,53,47,0,0,8,31,6,0,0,0,1606,1909,1488,3002,3321,3424,1955,2043,1501,1051,1028,737,50,1926
64,2,341D,2005,1,49,31,16,8,45,NONVEG,47,31,69,55,45,0,0,24,31,16,0,0,0,1611,1694,1792,2807,3321,3462,2087,1865,1822,1175,961,887,42,2311
65,2,341D,2005,1,49,31,18,0,51,NONVEG,49,31,69,49,51,4,0,4,27,0,0,0,0,1636,1922,1462,2807,3217,3268,2200,2496,1572,1236,1299,800,50,1927
66,2,341D,2005,1,49,31,20,6,43,NONVEG,51,31,69,57,43,4,0,6,27,0,0,0,0,1297,1726,1583,2890,3309,3397,1580,2147,1688,868,1084,833,50,1956
67,2,341D,2005,1,49,31,27,-1,43,NONVEG,57,31,69,57,43,6,0,14,24,8,0,0,0,1852,1782,1556,3282,3611,3601,2181,1868,1493,1102,880,705,42,1892
68,2,341D,2005,1,49,33,8,4,55,NONVEG,41,33,67,45,55,0,0,31,33,8,0,0,0,1526,1664,1706,2855,3134,2953,1897,1917,2175,1056,1002,1183,42,2552
69,2,341D,2005,1,49,33,12,2,53,NONVEG,45,33,67,47,53,0,0,31,33,4,0,0,0,1343,1628,1516,2930,3786,4035,1645,1538,1262,900,682,545,42,2136
70,2,341D,2005,1,49,33,16,4,47,NONVEG,49,33,67,53,47,2,0,0,31,2,0,0,0,1842,2095,1593,3236,3384,3920,2147,2120,1425,1098,1070,624,42,2125
71,2,341D,2005,1,49,33,18,12,37,NONVEG,51,33,67,63,37,2,0,12,31,14,0,0,0,1696,1655,1652,3205,3666,3715,2066,1638,1669,1064,760,773,42,2171
72,2,341D,2005,1,49,35,12,0,53,NONVEG,47,35,65,47,53,0,0,31,35,4,0,0,0,1183,1498,1383,2592,3330,3337,1517,1531,1414,892,756,706,42,2179
73,2,341D,2005,1,49,37,4,6,53,NONVEG,41,37,63,47,53,0,0,37,37,4,0,0,0,1974,1547,1661,3224,3445,3649,2307,1731,1615,1182,844,755,42,2314
74,2,341D,2005,1,49,37,4,6,53,NONVEG,41,37,63,47,53,2,0,35,35,0,0,0,0,1654,2201,2055,3114,3513,3679,2082,2478,2109,1104,1199,978,42,2364
75,2,341D,2005,1,49,37,8,2,53,NONVEG,45,37,63,47,53,2,0,24,35,6,0,0,0,1477,1655,1755,2897,3591,3649,1800,2242,1693,991,1086,788,42,2158
76,2,341D,2005,1,49,37,10,2,51,NONVEG,47,37,63,49,51,0,0,35,37,10,0,0,0,1173,1397,1286,2533,2681,2784,1699,1898,1694,1016,1074,959,42,2166
77,2,341D,2005,1,49,37,10,4,49,NONVEG,47,37,63,51,49,0,0,37,37,2,0,0,0,1416,1738,1791,2908,3684,4096,1582,1816,1504,870,843,633,42,2283
78,2,341D,2005,1,49,37,18,4,41,NONVEG,55,37,63,59,41,0,0,10,37,10,0,0,0,1086,2407,1743,1982,3840,4276,1978,2514,1511,1327,1144,606,42,2418
79,2,341D,2005,1,49,39,2,0,59,NONVEG,41,39,61,41,59,0,0,39,39,0,0,0,0,1756,1608,1619,3139,3480,3370,2055,1551,1743,1070,732,865,42,2298
80,2,341D,2005,1,49,39,2,4,55,NONVEG,41,39,61,45,55,0,0,37,39,0,0,0,0,1559,1561,1645,3341,3878,4377,1723,1462,1319,863,660,517,42,2117
81,2,341D,2005,1,49,39,6,0,55,NONVEG,45,39,61,45,55,0,0,33,39,4,0,0,0,1456,1656,1360,2136,3597,4008,2079,1632,1114,1348,794,473,42,2347
82,2,341D,2005,1,49,39,6,0,55,NONVEG,45,39,61,45,55,0,0,37,37,4,0,0,0,1491,1392,1193,2859,2976,3811,1830,1427,1042,1018,756,470,42,2117
83,2,341D,2005,1,49,39,6,4,51,NONVEG,45,39,61,49,51,0,0,29,39,2,0,0,0,1875,1819,1826,2946,3049,3178,2479,2196,2230,1352,1166,1161,42,2226
84,2,341D,2005,1,49,39,6,6,49,NONVEG,45,39,61,51,49,0,0,29,37,4,0,0,0,1855,1643,1641,3210,3604,3782,2142,1563,1560,1102,736,707,42,2277
85,2,341D,2005,1,49,39,20,4,37,TREE,59,39,61,63,37,0,0,8,35,14,0,0,0,1102,1656,1228,2389,2704,2861,1566,2443,1464,963,1406,814,50,1727
86,2,341D,2005,1,49,41,0,12,47,NONVEG,41,41,59,53,47,2,0,10,39,0,0,0,0,1892,1576,1580,3636,3981,4378,1992,1609,1259,930,704,495,42,2170
87,2,341D,2005,1,49,43,8,18,31,TREE,51,43,57,69,31,20,0,0,20,2,0,100,0,1531,1429,1359,2882,3050,3234,1901,1594,1467,1051,850,752,50,1914
88,2,341D,2005,1,49,43,10,8,39,TREE,53,43,57,61,39,0,0,43,43,4,0,0,0,1977,2409,1717,2228,3091,3524,2191,2794,1779,1402,1431,877,42,2414
89,2,341D,2005,1,49,43,14,4,39,TREE,57,43,57,61,39,2,0,35,41,2,0,0,0,1301,1634,1570,2623,3331,3416,1662,1819,1550,972,893,765,42,2109
90,2,341D,2005,1,49,45,4,8,43,TREE,49,45,55,57,43,4,0,27,41,0,0,0,0,1265,1541,1502,2855,3220,3614,1539,1716,1436,855,860,675,42,2148
91,2,341D,2005,1,49,45,6,0,49,NONVEG,51,45,55,51,49,8,0,4,37,2,0,0,0,1771,1884,1913,3136,3809,3804,2252,1758,1763,1177,823,792,42,2397
92,2,341D,2005,1,49,47,4,8,41,TREE,51,47,53,59,41,4,0,22,43,2,0,0,0,1898,1834,1748,3792,3999,4444,1751,1600,1378,786,685,532,42,2009
93,2,341D,2005,1,49,47,14,6,33,TREE,61,47,53,67,33,6,0,6,41,0,0,0,0,1521,2145,1829,3117,3550,3692,1719,2489,1845,901,1233,855,50,2027
94,2,341D,2005,1,49,49,2,2,47,TREE,51,49,51,53,47,8,0,27,41,0,0,0,0,2184,2045,1957,4037,4575,4994,2035,1474,1435,862,565,480,42,2152
95,2,341D,2005,1,49,49,10,4,37,TREE,59,49,51,63,37,0,0,0,49,2,0,0,0,1971,1747,1707,3587,4308,4607,2103,1354,1320,993,546,490,42,2328
96,2,341D,2005,1,49,49,14,2,35,TREE,63,49,51,65,35,0,0,18,49,8,0,0,0,1024,1908,1595,1702,3331,3593,1997,2031,1583,1446,1011,748,42,2392
97,2,341D,2005,1,49,51,0,0,49,TREE,51,51,49,51,49,0,0,51,51,0,0,0,0,1983,2022,1963,3076,4684,4752,2390,1602,1536,1274,595,548,42,2350
98,2,341D,2005,1,49,51,12,6,31,TREE,63,51,49,69,31,6,0,12,24,0,0,0,0,1832,2201,2034,2564,5441,5403,2063,1532,1377,1215,489,408,42,2117
99,2,341D,2005,1,49,53,4,10,33,TREE,57,53,47,67,33,0,0,2,53,0,0,0,0,2272,1996,2061,3674,4691,5501,2499,1566,1404,1157,560,408,42,2353
100,2,341D,2005,1,49,57,10,9,24,TREE,67,57,43,76,24,4,0,2,53,2,0,0,0,2095,2090,2381,4463,4744,4700,1649,1661,1991,642,592,718,42,2257
101,2,341D,2005,1,49,59,4,6,31,TREE,63,59,41,69,31,8,0,2,51,0,0,0,0,1550,2413,1758,3043,4198,4457,1712,2095,1462,919,867,565,42,2162
102,2,341D,2005,1,49,63,12,3,22,TREE,76,63,37,78,22,2,0,12,59,4,0,0,0,1748,2350,2293,2889,4717,4787,2240,1761,1702,1241,618,608,42,2265
103,2,341D,2005,1,49,69,4,3,24,TREE,73,69,31,76,24,6,0,24,63,0,0,0,0,2043,2108,2010,3030,4947,5299,2572,1989,1417,1392,665,439,42,2257
104,2,341E,2005,1,48,19,4,2,75,NONVEG,23,19,81,25,75,2,0,0,17,0,0,0,0,889,1811,811,2465,2901,2246,1194,2323,1282,722,1281,831,50,1711
105,2,341E,2005,1,49,8,6,13,73,NONVEG,14,8,92,27,73,0,0,4,8,0,0,0,0,1595,1662,1459,3300,2780,2605,1744,2236,2121,879,1263,1249,42,1754
106,2,341E,2005,1,49,10,29,6,55,NONVEG,39,10,90,45,55,0,0,4,10,29,0,0,0,1564,1489,1205,2615,2565,2401,2259,2175,1924,1323,1287,1181,50,1997
107,2,341E,2005,1,49,12,31,18,39,NONVEG,43,12,88,61,39,0,0,0,10,12,0,0,0,1118,1635,1296,2248,2886,2600,1644,2106,1899,1035,1163,1133,50,1984
108,2,341E,2005,1,49,14,18,7,61,NONVEG,33,14,86,39,61,2,0,10,12,0,0,0,0,1217,1220,1184,1566,1744,1814,3005,2891,2486,2192,2074,1732,42,2049
109,2,341E,2005,1,49,14,33,20,33,SHRUB,47,14,86,67,33,0,0,0,14,33,0,0,0,1188,2032,1117,2793,3130,2614,1445,2642,1472,816,1381,875,50,1667
110,2,341E,2005,1,49,22,24,3,51,NONVEG,47,22,78,49,51,0,0,0,22,18,0,0,0,1251,1462,1392,2555,2788,2612,1726,2267,2011,1022,1283,1182,50,1644
111,2,341E,2005,1,49,27,6,2,65,NONVEG,33,27,73,35,65,2,0,2,22,4,0,0,0,1451,1319,1219,2494,2384,2955,2133,1862,1387,1283,1146,754,42,1750
112,2,341E,2005,1,49,29,0,2,69,NONVEG,29,29,71,31,69,8,0,6,20,0,0,0,0,1300,1541,1550,3056,3028,3591,1453,1898,1571,773,1016,756,42,1857
113,2,341E,2005,1,49,29,6,10,55,NONVEG,35,29,71,45,55,0,0,22,29,6,0,0,0,1527,1609,1368,2643,2794,2535,2194,2224,2061,1277,1260,1229,42,1736
114,2,341E,2005,1,49,33,6,4,57,NONVEG,39,33,67,43,57,0,0,2,31,0,0,0,0,1634,1617,1478,2530,2898,2511,2519,1732,2455,1506,955,1474,42,2045
115,2,341E,2005,1,49,47,2,18,33,TREE,49,47,53,67,33,8,0,27,39,2,0,0,0,1705,1865,1763,3082,3372,3691,2086,2254,1757,1107,1126,817,42,1810
116,2,341E,2005,1,49,53,4,8,35,TREE,57,53,47,65,35,6,0,29,47,0,0,0,0,1686,2196,1401,2865,2929,2819,2167,2098,1841,1205,1144,1065,42,2155
117,2,341F,2005,1,49,0,0,0,100,NONVEG,0,0,100,0,100,0,0,0,0,0,0,0,100,1961,2000,715,3893,3647,2159,1899,2332,999,832,1082,645,42,1797
118,2,341F,2005,1,49,0,4,14,82,NONVEG,4,0,100,18,82,0,0,0,0,0,0,0,100,2210,632,945,3956,1519,2018,2181,1111,1554,942,817,1033,42,1851
119,2,341F,2005,1,49,0,37,4,59,NONVEG,37,0,100,41,59,0,0,0,0,2,0,0,0,1968,2278,2013,3334,3961,3862,2193,2417,2089,1093,1131,928,42,1841
120,2,341F,2005,1,49,2,2,69,27,OTHERVEG,4,2,98,73,27,2,0,0,0,0,0,0,100,1464,2034,1444,2556,3157,2785,2198,2914,2024,1302,1509,1144,50,2063
121,2,341F,2005,1,49,4,0,51,45,OTHERVEG,4,4,96,55,45,0,0,2,4,0,0,0,0,2041,1631,1317,3278,2600,2319,2554,2742,2404,1293,1612,1499,50,1673
122,2,341F,2005,1,49,4,2,72,22,OTHERVEG,6,4,96,78,22,2,0,2,2,0,0,0,100,1155,2082,1214,2584,3797,2636,1248,1993,1617,736,872,943,42,2243
123,2,341F,2005,1,49,4,27,18,51,NONVEG,31,4,96,49,51,0,0,2,4,12,0,0,0,1151,1695,1328,2303,2642,2408,1773,2585,2066,1115,1509,1269,50,1763
124,2,341F,2005,1,49,6,20,25,49,NONVEG,27,6,94,51,49,2,0,0,0,0,0,0,100,1926,2246,1268,3661,3507,2681,2020,2799,1674,940,1375,966,50,1819
125,2,341F,2005,1,49,10,29,2,59,NONVEG,39,10,90,41,59,0,0,4,10,22,0,0,0,1160,1539,1639,2329,1990,3242,1772,3237,1866,1104,2156,952,50,1744
126,2,341F,2005,1,49,12,18,3,67,NONVEG,31,12,88,33,67,0,0,8,12,10,0,0,0,1374,1399,1519,2464,2945,2905,2127,1982,1990,1287,1112,1098,42,2059
127,2,341F,2005,1,49,14,12,5,69,NONVEG,27,14,86,31,69,0,0,12,14,12,0,0,0,1306,1549,1378,2519,2918,2771,1896,1931,1783,1137,1059,1012,42,2055
128,2,341F,2005,1,49,14,27,0,59,NONVEG,41,14,86,41,59,0,0,2,14,18,0,0,0,1005,1385,1317,2106,2765,2672,1619,1691,1764,1055,949,1020,42,2129
129,2,341F,2005,1,49,16,2,9,73,NONVEG,18,16,84,27,73,0,0,6,16,0,0,0,0,1022,1370,1275,2256,2935,3411,1556,1857,1300,991,1016,639,42,2127
130,2,341F,2005,1,49,16,12,1,71,NONVEG,29,16,84,29,71,0,0,14,16,10,0,0,0,1733,1786,1808,2719,2994,3326,2546,2541,2049,1459,1365,1026,42,1987
131,2,341F,2005,1,49,16,16,3,65,NONVEG,33,16,84,35,65,0,0,14,16,12,0,0,0,1192,2172,1752,2248,3087,3459,1889,2637,1829,1198,1400,889,42,2239
132,2,341F,2005,1,49,18,6,5,71,NONVEG,24,18,82,29,71,0,0,16,18,6,0,0,0,1796,1864,1786,3114,4221,4471,1815,1701,1442,964,686,554,42,2456
133,2,341F,2005,1,49,18,20,3,59,NONVEG,39,18,82,41,59,0,0,6,18,18,0,0,0,1063,1752,1332,2273,2677,2588,1575,1979,1901,994,1121,1121,50,1753
134,2,341F,2005,1,49,18,20,3,59,NONVEG,39,18,82,41,59,0,0,18,18,20,0,0,0,1072,1617,1484,2264,2600,2827,1615,2539,2018,1019,1494,1146,42,2199
135,2,341F,2005,1,49,18,31,0,51,NONVEG,49,18,82,49,51,0,0,4,18,0,0,0,0,2104,1978,1846,3829,3890,4447,2130,1934,1561,954,839,608,42,1721
136,2,341F,2005,1,49,18,35,2,45,NONVEG,53,18,82,55,45,2,0,10,12,20,0,0,0,1178,1968,1517,2450,2879,3270,1673,2596,1651,1017,1435,837,42,2108
137,2,341F,2005,1,49,20,6,5,69,NONVEG,27,20,80,31,69,0,0,18,20,4,0,0,0,1670,2032,1927,2927,3524,3775,2145,2256,1892,1175,1075,858,42,2216
138,2,341F,2005,1,49,20,8,15,57,NONVEG,29,20,80,43,57,0,0,0,20,2,0,0,0,1569,1493,1699,2271,3448,3575,2175,2056,1805,1372,991,864,42,2302
139,2,341F,2005,1,49,20,22,5,53,NONVEG,43,20,80,47,53,0,0,16,20,22,0,0,0,1171,1233,1261,1950,1605,2339,2246,3661,1943,1515,2705,1217,50,1946
140,2,341F,2005,1,49,22,0,5,73,NONVEG,22,22,78,27,73,0,0,10,22,0,0,0,0,1152,1547,1422,2849,3376,2816,1375,1613,1818,765,811,1019,42,2038
141,2,341F,2005,1,49,22,2,0,76,NONVEG,24,22,78,24,76,0,0,22,22,0,0,0,0,1278,1686,1671,2480,3096,3503,1880,1750,1717,1134,932,829,42,2289
142,2,341F,2005,1,49,22,6,1,71,NONVEG,29,22,78,29,71,0,0,16,22,6,0,0,0,1647,1653,1749,3266,2927,3382,1744,2281,1927,887,1245,961,42,2248
143,2,341F,2005,1,49,22,6,7,65,NONVEG,29,22,78,35,65,6,0,12,14,2,0,0,0,1512,1823,1652,3127,3688,3956,1644,1861,1512,878,861,657,42,2169
144,2,341F,2005,1,49,22,8,3,67,NONVEG,31,22,78,33,67,0,0,10,22,8,0,0,0,1212,1727,1427,2559,2906,3158,1606,2512,1613,952,1369,840,42,2175
145,2,341F,2005,1,49,22,10,11,57,NONVEG,33,22,78,43,57,0,0,0,22,0,0,0,0,2161,1688,1907,3630,3346,3368,2436,2004,2313,1134,998,1151,42,1519
